#see python docstring for reference information
Nuclide,Air Dose Rate Factor,Ratio
H-3,4.41E-012,1.38E+004
Be-10,1.49E-010,2.26E+006
C-14,2.98E-012,6.64E+005
Na-22,1.44E-006,5.06E+000
Si-32+D,1.33E-009,7.37E+005
Cl-36,2.97E-010,7.02E+004
K-40,1.07E-007,1.10E+002
Ti-44+D,1.47E-006,2.92E+002
V-49,0,
Mn-54,5.45E-007,1.17E+001
Fe-55,0,
Co-60,1.68E-006,1.24E+002
Ni-59,0,
Ni-63,0,
Se-79,4.04E-012,2.32E+006
Rb-87,2.42E-011,1.27E+005
Sr-90+D,2.63E-009,8.94E+004
Zr-93,0,
Nb-91,1.23E-009,2.26E+004
Nb-93m,5.91E-011,4.70E+005
Nb-94,1.03E-006,3.84E+002
Mo-93,3.36E-010,8.04E+004
Tc-99,2.16E-011,3.66E+005
Ru-106+D,1.39E-007,3.27E+003
Pd-107,0,
Ag-108m+D,1.04E-006,2.59E+002
Cd-109,3.92E-009,2.77E+004
Cd-113m,9.24E-011,1.57E+007
In-115,5.99E-011,5.92E+007
Sn-121m+D,8.26E-010,1.37E+004
Sn-126+D,1.28E-006,7.49E+001
Sb-125,2.69E-007,4.31E+001
Te-125m,6.03E-009,1.15E+003
I-129,5.06E-009,3.26E+004
Cs-134,1.01E-006,4.36E+001
Cs-135,7.53E-012,5.74E+005
Cs-137+D,3.63E-007,8.36E+001
Ba-133,2.37E-007,3.13E+001
Pm-147,9.23E-012,4.04E+006
Sm-147,0,
Sm-151,4.81E-013,5.92E+007
Eu-150,9.55E-007,2.67E+002
Eu-152,7.53E-007,2.79E+002
Eu-154,8.18E-007,3.32E+002
Eu-155,3.32E-008,1.19E+003
Gd-152,0,
Ho-166m,1.13E-006,6.52E+002
Re-187,0,
Tl-204,7.45E-010,3.07E+003
Pb-205,6.74E-012,5.53E+005
Pb-210+D,1.19E-009,1.10E+007
Bi-207,1.00E-006,1.89E+001
Po-209,2.22E-009,5.04E+006
Po-210,5.54E-012,1.61E+009
Ra-226+D,1.18E-006,6.92E+003
Ra-228+D,6.37E-007,7.58E+003
Ac-227+D,2.47E-007,2.58E+007
Th-228+D,1.08E-006,3.05E+005
Th-229+D,1.98E-007,1.04E+007
Th-230,2.32E-010,1.33E+009
Th-232,1.16E-010,1.34E+010
Pa-231,2.29E-008,5.32E+007
U-232,1.89E-010,3.31E+009
U-233,2.17E-010,5.92E+008
U-234,1.02E-010,1.24E+009
U-235+D,1.03E-007,1.13E+006
U-236,6.67E-011,1.79E+009
U-238+D,1.57E-008,7.15E+006
Np-237+D,1.38E-007,3.71E+006
Pu-236,8.46E-011,1.63E+009
Pu-238,6.50E-011,5.73E+009
Pu-239,5.65E-011,7.22E+009
Pu-240,6.33E-011,6.44E+009
Pu-241+D,2.87E-012,2.73E+009
Pu-242,5.34E-011,7.31E+009
Pu-244+D,2.17E-007,1.77E+006
Am-241,1.09E-008,3.87E+007
Am-242m+D,1.02E-008,3.96E+007
Am-243+D,1.32E-007,3.18E+006
Cm-242,7.58E-011,2.17E+008
Cm-243,7.83E-008,3.73E+006
Cm-244,6.54E-011,3.60E+009
Cm-245,5.28E-008,8.20E+006
Cm-246,5.94E-011,7.22E+009
Cm-247+D,2.14E-007,1.84E+006
Cm-248,4.52E-011,3.48E+010
Cm-250+D,2.11E-007,4.23E+007
Bk-247,6.27E-008,8.68E+006
Cf-248,6.30E-011,7.64E+008
Cf-249,2.11E-007,2.60E+006
Cf-250,5.99E-011,4.15E+009
Cf-251,7.43E-008,7.52E+006
Cf-252,6.74E-011,2.21E+009
