#see python docstring for reference information
Nuclide,GENII,EPA,DOE,GENII/EPA,DOE/EPA
H-3,3.49E-008,0,0,EPA=0,
Be-10,4.33E-001,5.37E-001,0,0.806,DOE=0
C-14,7.51E-003,6.82E-003,0,DOE=0,
Na-22,6.75E+003,5.98E+003,2.40E+004,1.13,4.01
Si-32+D,9.62E+000,5.70E+000,0,1.69,DOE=0
Cl-36,8.58E-001,1.16E+000,5.32E-004,0.74,0.000459
K-40,4.87E+002,4.33E+002,1.56E+003,1.12,3.6
Ti-44+D,7.10E+003,6.00E+003,2.57E+004,1.18,4.28
V-49,0,0,8.60E-001,EPA=0,
Mn-54,2.53E+003,2.27E+003,9.59E+003,1.11,4.22
Fe-55,1.07E-001,0,2.52E+000,EPA=0,EPA=0
Co-60,7.51E+003,6.87E+003,2.59E+004,3.77,
Ni-59,1.31E-001,0,4.75E+000,EPA=0,EPA=0
Ni-63,1.91E-004,0,0,EPA=0,
Se-79,5.37E-003,9.44E-003,0,0.569,DOE=0
Rb-87,4.02E-002,7.13E-002,0,0.564,DOE=0
Sr-90+D,1.97E+001,1.17E+001,0,1.68,DOE=0
Zr-93,1.34E-004,0,0,EPA=0,
Nb-91,5.74E+000,5.74E+000,8.36E+001,14.6,
Nb-93m,4.33E-002,5.28E-002,1.17E+001,0.82,222
Nb-94,4.67E+003,4.29E+003,1.81E+004,4.22,
Mo-93,2.43E-001,2.99E-001,6.59E+001,0.813,220
Tc-99,5.04E-002,6.35E-002,7.14E-003,0.794,0.112
Ru-106+D,7.32E+002,5.83E+002,2.40E+003,1.26,4.12
Pd-107,4.16E-006,0,0,EPA=0,
Ag-108m+D,5.37E+003,4.37E+003,1.90E+004,1.23,4.35
Cd-109,2.61E+000,7.47E+000,1.08E+002,0.349,14.5
Cd-113m,4.28E-001,3.24E-001,0,1.32,DOE=0
In-115,2.56E-001,2.01E-001,0,1.27,DOE=0
Sn-121m+D,5.15E+000,1.07E+000,0,4.81,DOE=0
Sn-126+D,6.56E+003,5.36E+003,2.37E+004,1.22,4.42
Sb-125+D,1.49E+003,1.12E+003,5.05E+003,1.33,4.51
Te-125m,8.78E+000,7.67E+000,2.40E+002,1.14,31.3
I-129,5.54E+000,6.57E+000,2.51E+002,0.843,38.2
Cs-134,5.23E+003,4.24E+003,1.80E+004,1.23,4.25
Cs-135,1.46E-002,1.94E-002,0,0.753,DOE=0
Cs-137+D,1.82E+003,1.53E+003,6.59E+003,1.19,4.31
Ba-133,1.10E+003,9.36E+002,4.78E+003,1.18,5.11
Pm-147,2.74E-002,2.53E-002,4.68E-002,1.85,
Sm-147,0,0,0,,
Sm-151,1.95E-003,4.99E-004,5.93E-002,3.91,119
Eu-150,5.04E+003,3.96E+003,0,1.27,DOE=0
Eu-152,3.60E+003,3.05E+003,1.27E+004,1.18,4.16
Eu-154,3.74E+003,3.34E+003,1.38E+004,1.12,4.13
Eu-155,8.98E+001,9.24E+001,8.16E+002,8.83,
Gd-152,0,0,0,,
Ho-166m,4.67E+003,4.64E+003,1.88E+004,4.05,
Re-187,0,0,0,,
Tl-204,1.93E+000,2.04E+000,1.48E+001,7.25,
Pb-205,8.75E-002,3.58E-003,8.61E+000,24.4,2410
Pb-210+D,3.85E+000,3.00E+000,3.42E+001,1.28,11.4
Bi-207,4.92E+003,4.11E+003,1.72E+004,1.2,4.18
Po-209,8.95E+000,8.95E+000,4.10E+001,4.58,
Po-210,2.68E-002,2.32E-002,9.81E-002,1.16,4.23
Ra-226+D,5.61E+003,4.78E+003,1.92E+004,1.17,4.02
Ra-228+D,3.04E+003,2.62E+003,1.04E+004,1.16,3.97
Ac-227+D,1.08E+003,9.61E+002,5.00E+003,1.12,5.2
Th-228+D,4.92E+003,4.20E+003,1.66E+004,1.17,3.95
Th-229+D,9.04E+002,7.45E+002,4.09E+003,1.21,5.49
Th-230,4.11E-001,6.05E-001,1.03E+001,0.679,17
Th-232,2.13E-001,2.63E-001,7.60E+000,0.81,28.9
Pa-231,9.09E+001,9.11E+001,4.08E+002,4.48,
U-232,3.10E-001,4.52E-001,1.17E+001,0.686,25.9
U-233,4.81E-001,6.86E-001,5.70E+000,0.701,8.31
U-234,1.89E-001,2.03E-001,9.21E+000,45.4,
U-235+D,2.52E+002,3.74E+002,2.17E+003,0.674,5.8
U-236,9.85E-002,1.08E-001,8.36E+000,77.4,
U-238+D,7.10E+001,5.87E+001,2.81E+002,1.21,4.79
Np-237+D,7.13E+002,5.28E+002,3.06E+003,1.35,5.8
Pu-236,9.45E-002,1.14E-001,1.13E+001,0.829,99.1
Pu-238,1.06E-001,7.65E-002,9.79E+000,1.39,128
Pu-239,1.59E-001,1.44E-001,4.31E+000,1.1,29.9
Pu-240,7.29E-002,7.43E-002,9.35E+000,126,
Pu-241+D,9.43E-003,9.29E-003,4.40E-002,4.74,
Pu-242,9.57E-002,6.49E-002,7.78E+000,1.47,120
Pu-244+D,1.17E+003,9.04E+002,3.86E+003,1.29,4.27
Am-241,1.45E+001,2.22E+001,3.41E+002,0.653,15.4
Am-242m+D,3.58E+001,3.28E+001,2.66E+002,8.11,
Am-243+D,4.49E+002,4.42E+002,2.94E+003,6.65,
Cm-242,5.97E-002,8.59E-002,1.07E+001,0.695,125
Cm-243,2.90E+002,2.86E+002,1.67E+003,5.84,
Cm-244,5.09E-002,6.39E-002,9.46E+000,0.797,148
Cm-245,1.32E+002,1.71E+002,9.74E+002,0.772,5.7
Cm-246,4.19E-002,5.89E-002,8.37E+000,0.711,142
Cm-247+D,1.30E+003,8.74E+002,4.16E+003,1.49,4.76
Cm-248,3.83E-002,4.45E-002,6.71E+000,0.861,151
Cm-250+D,1.20E+003,8.55E+002,4.40E+003,1.4,5.15
Bk-247,2.32E+002,2.14E+002,0,DOE=0,
Cf-248,3.43E-002,6.32E-002,7.68E+000,0.543,122
Cf-249,9.82E+002,8.71E+002,4.02E+003,1.13,4.62
Cf-250,5.37E-002,6.01E-002,7.81E+000,0.894,130
Cf-251,2.40E+002,2.62E+002,1.55E+003,5.92,
