#see python docstring for reference information
Nuclide,f1,GENII,EPA,DOE,GENII/EPA,DOE/EPA
H-3,1,6.12E-008,6.40E-008,6.30E-008,,
Be-10,0.005,4.70E-006,4.66E-006,4.20E-006,0.9,
C-14,1,2.06E-006,2.09E-006,2.10E-006,,
Na-22,1,1.06E-005,1.15E-005,1.20E-005,0.92,
Si-32+D,0.01,1.11E-005,1.10E-005,9.40E-006,0.85,
Cl-36,1,2.95E-006,3.03E-006,3.00E-006,,
K-40,1,1.79E-005,1.86E-005,1.90E-005,,
Ti-44+D,0.01,2.35E-005,2.46E-005,1.91E-005,0.78,
V-49,0.01,6.04E-008,6.14E-008,5.40E-008,0.88,
Mn-54,0.1,2.76E-006,2.77E-006,2.70E-006,,
Fe-55,0.1,6.15E-007,6.07E-007,5.80E-007,,
Co-60,0.3,2.65E-005,2.69E-005,2.60E-005,,
Ni-59,0.05,2.05E-007,2.10E-007,2.00E-007,,
Ni-63,0.05,5.72E-007,5.77E-007,5.40E-007,0.94,
Se-79,0.8,8.33E-006,8.70E-006,8.30E-006,,
Rb-87,1,4.73E-006,4.92E-006,4.80E-006,,
Sr-90+D,0.3,1.31E-004,1.53E-004,1.40E-004,0.86,0.92
Zr-93,0.002,1.64E-006,1.66E-006,1.60E-006,,
Nb-91,0.01,5.05E-007,5.22E-007,5.30E-007,,
Nb-93m,0.01,5.05E-007,5.22E-007,5.30E-007,,
Nb-94,0.01,7.25E-006,7.14E-006,5.10E-006,0.71,
Mo-93,0.8,1.21E-006,1.35E-006,1.30E-006,0.9,
Tc-99,0.8,2.23E-006,1.46E-006,1.30E-006,1.53,0.89
Ru-106+D,0.05,2.73E-005,2.74E-005,2.10E-005,0.77,
Pd-107,0.005,1.50E-007,1.49E-007,1.40E-007,0.94,
Ag-108m+D,0.05,7.58E-006,7.62E-006,7.50E-006,,
Cd-109,0.05,1.32E-005,1.31E-005,1.20E-005,0.92,
Cd-113m,0.05,1.62E-004,1.61E-004,1.50E-004,0.93,
In-115,0.02,8.68E-005,1.58E-004,1.40E-004,0.55,0.89
Sn-121m+D,0.02,2.24E-006,2.25E-006,1.99E-006,0.88,
Sn-126+D,0.02,2.08E-005,2.11E-005,1.83E-005,0.87,
Sb-125+D,0.1,2.83E-006,2.81E-006,2.60E-006,0.93,
Te-125m,0.2,3.72E-006,3.67E-006,3.40E-006,0.93,
I-129,1,2.49E-004,2.76E-004,2.80E-004,0.9,
Cs-134,1,6.82E-005,7.33E-005,7.40E-005,0.93,
Cs-135,1,6.86E-006,7.07E-006,7.10E-006,,
Cs-137+D,1,4.74E-005,5.00E-005,5.00E-005,0.95,
Ba-133,0.1,3.05E-006,3.40E-006,3.20E-006,0.9,0.94
