#see python docstring for reference information
Nuclide,Lung Model,GENII,EPA,DOE,GENII/EPA,DOE/EPA
H-3,V,9.02E-008,9.60E-008,9.45E-008,0.94,
Be-10,Y,3.54E-004,3.54E-004,3.50E-004,,
C-14,O,2.06E-006,2.09E-006,2.10E-006,,
Na-22,D,7.11E-006,7.66E-006,8.00E-006,0.93,
Si-32+D,Y,1.02E-003,1.03E-003,1.01E-003,,
Cl-36,W,2.21E-005,2.19E-005,2.00E-005,0.91,
K-40,D,1.19E-005,1.24E-005,1.20E-005,,
Ti-44+D,D,4.18E-004,4.52E-004,4.50E-004,0.92,
V-49,W,3.46E-007,3.45E-007,2.80E-007,0.81,
Mn-54,W,6.36E-006,6.70E-006,6.40E-006,0.95,
Fe-55,D,2.74E-006,2.69E-006,2.60E-006,,
Co-60,Y,2.00E-004,2.19E-004,1.50E-004,0.91,0.68
Ni-59,D,1.28E-006,1.32E-006,1.30E-006,,
Ni-63,D,3.06E-006,3.10E-006,3.00E-006,,
Se-79,W,9.49E-006,9.84E-006,8.90E-006,0.9,
Rb-87,D,3.18E-006,3.23E-006,3.30E-006,,
Sr-90+D,D,2.10E-004,2.48E-004,2.37E-004,0.85,
Zr-93,D,3.16E-004,3.21E-004,3.20E-004,,
Nb-91,Y,2.94E-005,2.92E-005,2.80E-005,,
Nb-93m,Y,2.94E-005,2.92E-005,2.80E-005,,
Nb-94,Y,3.91E-004,4.14E-004,3.30E-004,0.94,0.8
Mo-93,Y,2.80E-005,2.84E-005,2.80E-005,,
Tc-99,W,9.00E-006,8.33E-006,7.50E-006,1.08,0.9
Ru-106+D,Y,4.75E-004,4.77E-004,4.40E-004,0.92,
Pd-107,Y,1.29E-005,1.28E-005,1.30E-005,,
Ag-108m+D,Y,2.58E-004,2.83E-004,2.00E-004,0.91,0.71
Cd-109,D,1.15E-004,1.14E-004,1.00E-004,0.88,
Cd-113m,D,1.54E-003,1.53E-003,1.40E-003,0.92,
In-115,D,2.02E-003,3.74E-003,3.40E-003,0.54,0.91
Sn-121m+D,W,1.18E-005,1.19E-005,9.26E-006,0.78,
Sn-126+D,W,1.00E-004,1.01E-004,7.54E-005,0.75,
Sb-125+D,W,1.23E-005,1.22E-005,9.80E-006,0.8,
Te-125m,W,7.18E-006,7.29E-006,6.70E-006,0.92,
I-129,D,1.51E-004,1.74E-004,1.80E-004,0.87,
Cs-134,D,4.28E-005,4.63E-005,4.70E-005,0.92,
Cs-135,D,4.49E-006,4.55E-006,4.50E-006,,
Cs-137+D,D,2.98E-005,3.19E-005,3.20E-005,0.93,
Ba-133,D,6.00E-006,7.81E-006,6.90E-006,0.77,0.88
Pm-147,Y,3.92E-005,3.92E-005,3.40E-005,0.87,
Sm-147,W,7.48E-002,7.47E-002,7.10E-002,,
Sm-151,W,3.01E-005,3.00E-005,2.90E-005,,
Eu-150,W,2.50E-004,2.68E-004,2.70E-004,0.93,
Eu-152,W,2.11E-004,2.21E-004,2.20E-004,,
Eu-154,W,2.78E-004,2.86E-004,2.60E-004,0.91,
Eu-155,W,4.12E-005,4.14E-005,3.90E-005,0.94,
Gd-152,D,2.44E-001,2.43E-001,2.40E-001,,
Ho-166m,W,7.46E-004,7.73E-004,7.20E-004,0.93,
Re-187,W,5.86E-008,5.44E-008,4.90E-008,1.08,0.9
Tl-204,D,2.46E-006,2.41E-006,2.30E-006,,
Pb-205,D,3.97E-006,3.92E-006,3.70E-006,0.94,
Pb-210+D,D,1.39E-002,1.38E-002,1.32E-002,,
Bi-207,W,1.96E-005,2.00E-005,1.40E-005,0.7,
Po-209,D,1.19E-002,1.18E-002,1.01E-002,0.86,
Po-210,D,9.65E-003,9.40E-003,8.10E-003,0.86,
Ra-226+D,W,8.22E-003,8.60E-003,7.91E-003,0.92,
Ra-228+D,W,4.40E-003,5.08E-003,4.49E-003,0.87,0.88
Ac-227+D,D,6.71E+000,6.72E+000,6.72E+000,,
Th-228+D,W,3.47E-001,3.45E-001,3.13E-001,0.91,
Th-229+D,W,2.16E+000,2.16E+000,2.02E+000,0.94,
Th-230,W,3.27E-001,3.26E-001,3.20E-001,,
Th-232,W,1.64E+000,1.64E+000,1.60E+000,,
Pa-231,W,1.29E+000,1.28E+000,1.30E+000,,
U-232,Y,6.56E-001,6.59E-001,6.70E-001,,
U-233,Y,1.35E-001,1.35E-001,1.30E-001,,
U-234,Y,1.32E-001,1.32E-001,1.30E-001,,
U-235+D,Y,1.24E-001,1.23E-001,1.20E-001,,
U-236,Y,1.26E-001,1.25E-001,1.20E-001,,
U-238+D,Y,1.18E-001,1.18E-001,1.20E-001,,
Np-237+D,W,6.32E-001,5.40E-001,4.90E-001,1.17,0.91
Pu-236,W,1.45E-001,1.45E-001,1.60E-001,1.1,
Pu-238,W,3.90E-001,3.92E-001,4.60E-001,1.17,
Pu-239,W,4.30E-001,4.29E-001,5.10E-001,1.19,
Pu-240,W,4.30E-001,4.29E-001,5.10E-001,1.19,
Pu-241+D,W,8.17E-003,8.25E-003,1.00E-002,1.21,
Pu-242,W,4.08E-001,4.11E-001,4.80E-001,1.17,
Pu-244+D,W,4.03E-001,4.03E-001,4.80E-001,1.19,
Am-241,W,4.41E-001,4.44E-001,5.20E-001,1.17,
Am-242m+D,W,4.24E-001,4.26E-001,5.10E-001,1.2,
Am-243+D,W,4.41E-001,4.40E-001,5.20E-001,1.18,
Cm-242,W,1.75E-002,1.73E-002,1.70E-004,,
Cm-243,W,3.07E-001,3.07E-001,3.50E-001,1.14,
Cm-244,W,2.48E-001,2.48E-001,2.70E-001,1.09,
Cm-245,W,4.55E-001,4.55E-001,5.40E-001,1.19,
Cm-246,W,4.51E-001,4.51E-001,5.40E-001,1.2,
Cm-247+D,W,4.15E-001,4.14E-001,4.90E-001,1.18,
Cm-248,W,1.65E+000,1.65E+000,1.90E+000,1.15,
Cm-250+D,W,9.43E+000,9.40E+000,9.40E+000,,
Bk-247,W,4.65E-001,5.74E-001,5.50E-001,0.81,
Cf-248,Y,5.11E-002,5.07E-002,4.30E-002,0.85,
Cf-249,W,5.77E-001,5.77E-001,5.50E-001,,
Cf-250,W,2.63E-001,2.62E-001,2.20E-001,0.84,
Cf-251,W,5.87E-001,5.88E-001,5.60E-001,,
Cf-252,Y,1.55E-001,1.57E-001,1.30E-001,0.83,
