"1.  ","A-150 Tissue-Equivalent Plastic (A150TEP)",,,,,
"Formula =","-",,,"Molecular weight (g/mole) =",,"-"
"Density (g/cm3) =",,1.127000,,"Total atoms/b-cm =",,1.169E-01
"The above density is estimated to be accurate to 4 significant digits.  Dealing with uncertainties is left to the user.",,,,,,
"The following data was calculated from the input weight fractions.",,,,,,
,,,,,,
,,,"Weight","Atom","Atom",
"Element","Neutron ZA","Photon ZA","Fraction","Fraction","Density",
"H",1001,1000,0.101327,0.583640,0.068228,
"C",6000,6000,0.775501,0.374859,0.043822,
"N",7014,7000,0.035057,0.014531,0.001699,
"O",8016,8000,0.052316,0.018984,0.002219,
"F",9019,9000,0.017422,0.005324,0.000622,
"Ca",20000,20000,0.018378,0.002662,0.000311,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Total",,,1.000001,1.000000,0.116902,
,,,,,,
"MCNP Form","Weight Fractions",,"Atom Fractions",,"Atom Densities",
"Neutrons",1001,-0.101327,1001,0.583640,1001,0.068228
,6000,-0.775501,6000,0.374859,6000,0.043822
,7014,-0.035057,7014,0.014531,7014,0.001699
,8016,-0.052316,8016,0.018984,8016,0.002219
,9019,-0.017422,9019,0.005324,9019,0.000622
,20000,-0.018378,20000,0.002662,20000,0.000311
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Photons",1000,-0.101327,1000,0.583640,1000,0.068228
,6000,-0.775501,6000,0.374859,6000,0.043822
,7000,-0.035057,7000,0.014531,7000,0.001699
,8000,-0.052316,8000,0.018984,8000,0.002219
,9000,-0.017422,9000,0.005324,9000,0.000622
,20000,-0.018378,20000,0.002662,20000,0.000311
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"CEPXS Form:","material","H",0.101327,,,
,,"C",0.775501,,,
,,"N",0.035057,,,
,,"O",0.052316,,,
,,"F",0.017422,,,
,,"Ca",0.018378,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"matname","A-150 Tissue-Equivalent Plastic (A150TEP)",,,,
,"density",1.127000,,,,
"Comments & references:",,,,,,
"Density and weight fractions from http://physics.nist.gov/cgi-bin/Star/compos.pl?matno=099.",,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
"Density and weight fractions from http://physics.nist.gov/cgi-bin/Star/compos.pl?matno=100.  Formula ",,,,,,
"from http://www.matweb.com/search/DataSheet.aspx?MatGUID=1f9fd4a5357e428f9a82e750f4fbbf0e.",,,,,,
"Formula and density = 0.7845 in CRC Handbook of Chemistry and Physics, 89th edition, page 3-4,",,,,,,
"available at http://www.hbcpnetbase.com/.",,,,,,
0,,,,,,
"Density and weight fractions from http://physics.nist.gov/cgi-bin/Star/compos.pl?matno=101.",,,,,,
"Formula from CRC Handbook of Chemistry and Physics, 89th edition, page 3-6.",,,,,,
,,,,,,
,,,,,,
,,,,,,
"2.  ","Acetone",,,,,
"Formula =","C3H6O",,"Molecular weight (g/mole) =","Molecular weight (g/mole) =",,58.07914
"Density (g/cm3) =",,0.789900,"Total atom density (atoms/b-cm) =",,,8.190E-02
"The above density is estimated to be accurate to 4 significant digits.  Dealing with uncertainties is left to the user.",,,,,,
"The following data was calculated from the input weight fractions.",,,,,,
,,,,,,
,,,"Weight","Atom","Atom",
"Element","Neutron ZA","Photon ZA","Fraction","Fraction","Density",
"H",1001,1000,0.104122,0.599985,0.049140,
"C",6000,6000,0.620405,0.300013,0.024571,
"O",8016,8000,0.275473,0.100002,0.008190,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Total",,,1.000000,1.000000,0.081901,
,,,,,,
"MCNP Form","Weight Fractions",,"Atom Fractions",,"Atom Densities",
"Neutrons",1001,-0.104122,1001,0.599985,1001,0.049140
,6000,-0.620405,6000,0.300013,6000,0.024571
,8016,-0.275473,8016,0.100002,8016,0.008190
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Photons",1000,-0.104122,1000,0.599985,1000,0.049140
,6000,-0.620405,6000,0.300013,6000,0.024571
,8000,-0.275473,8000,0.100002,8000,0.008190
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"CEPXS Form:","material","H",0.104122,,,
,,"C",0.620405,,,
,,"O",0.275473,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"matname","Acetone",,,,
,"density",0.789900,,,,
"Comments & references:",,,,,,
"Density and weight fractions from http://physics.nist.gov/cgi-bin/Star/compos.pl?matno=100.  Formula ",,,,,,
"from http://www.matweb.com/search/DataSheet.aspx?MatGUID=1f9fd4a5357e428f9a82e750f4fbbf0e.",,,,,,
"Formula and density = 0.7845 in CRC Handbook of Chemistry and Physics, 89th edition, page 3-4,",,,,,,
"available at http://www.hbcpnetbase.com/.",,,,,,
0,,,,,,
"Density and weight fractions from http://physics.nist.gov/cgi-bin/Star/compos.pl?matno=101.",,,,,,
"Formula from CRC Handbook of Chemistry and Physics, 89th edition, page 3-6.",,,,,,
0,,,,,,
"Density and weight fractions from http://physics.nist.gov/PhysRefData/XrayMassCoef/tab2.html.",,,,,,
"Note:  This NIST data yields a CO2 content in air of about 299 ppm by volume whereas measurements",,,,,,
"at the Mauna Loa Observatory indicate an average CO2 content of 377.38 ppm in 2004 ",,,,,,
"(CRC Handbook of Chemistry and Physics, 90th edition, page 14-28).",,,,,,
0,,,,,,
"Density and weight fractions from http://physics.nist.gov/cgi-bin/Star/compos.pl?matno=105.",,,,,,
,,,,,,
,,,,,,
,,,,,,
"3.  ","Acetylene",,,,,
"Formula =","C2H2",,"Molecular weight (g/mole) =","Molecular weight (g/mole) =",,26.03728
"Density (g/cm3) =",,0.001097,"Total atom density (atoms/b-cm) =",,,1.015E-04
"The above density is estimated to be accurate to 4 significant digits.  Dealing with uncertainties is left to the user.",,,,,,
"The following data was calculated from the input weight fractions.",,,,,,
,,,,,,
,,,"Weight","Atom","Atom",
"Element","Neutron ZA","Photon ZA","Fraction","Fraction","Density",
"H",1001,1000,0.077418,0.499983,0.000051,
"C",6000,6000,0.922582,0.500017,0.000051,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Total",,,1.000000,1.000000,0.000101,
,,,,,,
"MCNP Form","Weight Fractions",,"Atom Fractions",,"Atom Densities",
"Neutrons",1001,-0.077418,1001,0.499983,1001,0.000051
